Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)

SMILES: Line notation of a chemical compound
B2: Second virial coefficient computed using MSMC simulations (dm^3/mol)
UB2: Uncertainty (68% confidence level) in MSMC-obtained B2 (dm^3/mol)
These simulations are carried out in Etomica using etomica.virial.simulations.VirialAlkanesAmber class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	B2	UB2
CCCC(CC(C)C)(C)C	-5.77317204	0.027162701
CC(CC(C(C)C)(C)C)C	-5.415359621	0.024273365
CC(C(C(C)C)C(C)C)C	-5.040499235	0.021776078
CCCCCCC(C)(C)C	-7.027370444	0.040121746
CC(CCCC(C)(C)C)C	-6.453854672	0.034547152
CCCC(CC(C)(C)C)C	-5.906462747	0.029247192
CC(C(CC(C)(C)C)C)C	-5.286342522	0.024015295
CCCC(C(C)(C)C)CC	-5.539578032	0.024039983
CCC(C(C)(C)C)C(C)C	-4.955544112	0.020268542
CCCCC(C(C)(C)C)C	-6.076243975	0.027810783
CC(CC(C(C)(C)C)C)C	-5.245233605	0.021756449
CCCC(C(C)(C)C)(C)C	-5.15472156	0.020689568
CC(C(C(C)(C)C)(C)C)C	-4.847798834	0.018799249
CCCCCC(CC)CC	-7.341807395	0.042421536
CCC(CCC(C)C)CC	-6.650420664	0.033233862
CCCC(C(CC)CC)C	-5.969283456	0.030697564
CCC(C(C(C)C)C)CC	-5.493242674	0.025236526
CCCC(CC)(CC)CC	-5.894910128	0.02719455
CCC(C(C)C)(CC)CC	-5.385455119	0.024170429
CCCCCC(CC)(C)C	-6.624693804	0.034684277
CCC(CCC(C)C)(C)C	-5.81536711	0.028129196
CCCC(C(CC)(C)C)C	-5.663561004	0.026210768
CCC(C(C(C)C)C)(C)C	-5.172419143	0.022717731
CCCCC(CC)(CC)C	-6.180170693	0.029642668
CCC(CC(C)C)(CC)C	-5.69719139	0.025185456
CCC(CC(CC)CC)C	-6.046285114	0.029912314
CCC(C(CC)CC)CC	-5.595739398	0.029643466
CCC(C(CC)(C)C)CC	-5.409157413	0.025844608
CCC(CC(CC)(C)C)C	-5.61976854	0.024015518
CCC(C(CC)(C)C)(C)C	-5.235947524	0.01976356
CCC(CCC(CC)C)C	-6.814648804	0.036777318
CCC(CCC(C)(C)C)C	-5.90331999	0.03138403
CCC(CC(C)(C)C)CC	-5.483493382	0.024687129
CCC(CC(C)(C)C)(C)C	-5.123586357	0.019501358
CCC(C(C(CC)C)C)C	-5.799951122	0.026933624
CCC(C(CC)(CC)C)C	-5.536126691	0.023953833
CCC(C(C(C)(C)C)C)C	-5.050204098	0.019497773
CCC(C(C)(C)C)(CC)C	-5.037768138	0.021549148
CC(CCC(C)(C)C)(C)C	-5.090450567	0.022409386
CC(C(C)(C)C)C(C)(C)C	-4.92955454	0.019776394
CCCCCCCCCCC	-12.30990646	0.092103249
CCCCCCCCC(C)C	-12.04174591	0.082881607
CCCCCCC(CCC)C	-11.5335444	0.087198811
CCCCCCC(C(C)C)C	-10.65603416	0.074262863
CCCCCC(CCC)CC	-10.87589024	0.072734052
CCCCCC(C(C)C)CC	-9.608607022	0.062720435
CCCCC(CCC)CCC	-10.8942954	0.072668373
CCCCC(C(C)C)CCC	-9.337398185	0.058965062
CC(CCCCCC(C)C)C	-11.40629974	0.07849055
CCCC(CCCC(C)C)C	-10.67378522	0.071569047
CC(CCCC(C(C)C)C)C	-9.975236204	0.073900236
CCCC(CCC(C)C)CC	-9.677048364	0.070658365
CCC(C(C)C)CCC(C)C	-8.64476387	0.059680016
CCCC(CC(C)C)CCC	-9.448612223	0.057863786
CCCC(C(C)C)CC(C)C	-8.038866413	0.045228137
CCCCC(C(C)C)C(C)C	-8.088936396	0.043893358
CCCCCC(CCC)(C)C	-9.764693469	0.062301834
CCCCCC(C(C)C)(C)C	-9.058719611	0.052551971
CCCCCC(CCCC)C	-11.36200897	0.089509428
CCCCCC(CC(C)C)C	-10.320105	0.074758998
CCCC(CC(CCC)C)C	-9.613047582	0.069056139
CCCC(CC(C(C)C)C)C	-8.527564366	0.047751991
CCCC(C(CCC)C)CC	-8.809576588	0.057998267
CCCC(C(C(C)C)CC)C	-7.784162842	0.043216487
CCCC(CCC)(CCC)C	-9.060844091	0.048627924
CCCC(C(C)C)(CCC)C	-8.122530662	0.042850742
CC(C(C)C)CC(C(C)C)C	-7.847727117	0.043944698
CCCC(C(C(C)C)C)CC	-7.882383844	0.044582341
CCC(C(C(C)C)C)C(C)C	-7.042670776	0.035344309
CCCC(C(C)C)(C(C)C)C	-7.323493072	0.036164778
CCCC(C(CCC)(C)C)C	-8.115110302	0.041014252
CCCC(C(C(C)C)(C)C)C	-7.607090647	0.043040377
CCCCC(C(CCC)C)C	-9.702523006	0.066930081
CCCC(C(CC(C)C)C)C	-8.320588581	0.050782619
CCCCCCC(CC)CC	-11.1260514	0.081667493
CCC(CCCC(C)C)CC	-10.22868196	0.070462138
CCCC(CC(CC)CC)C	-9.056999204	0.062597794
CCC(CC(C(C)C)C)CC	-7.953371986	0.042936095
CCCC(C(CC)CC)CC	-8.012317987	0.042784799
CCC(C(CC)CC)C(C)C	-7.205474787	0.037920954
CCCC(CCC)(CC)CC	-8.556378695	0.045117406
CCCC(C(C)C)(CC)CC	-7.64448746	0.03954365
CCC(C(C)C)(C(C)C)CC	-7.064043663	0.035708145
CCCC(C(CC)CC)(C)C	-7.710811163	0.04184595
CCC(C(C(C)C)(C)C)CC	-7.113624091	0.033214583
CCCCC(C(CC)CC)C	-8.948106687	0.051351983
CCC(C(CC(C)C)C)CC	-7.667382939	0.039480653
CCCCC(CCC(C)C)C	-10.4148123	0.072346398
CC(CCC(CC(C)C)C)C	-9.371150941	0.073243413
CCCC(CCC(C)C)(C)C	-8.410091737	0.050146728
CC(CCC(C(C)C)(C)C)C	-7.936530278	0.04784404
CC(CC(C(C)C)C(C)C)C	-6.857496685	0.036543471
CC(C(C(C)C)(C(C)C)C)C	-6.715386955	0.030839181
CCCC(C(C(C)C)C)(C)C	-7.28128187	0.034225706
CC(C(C(C(C)C)(C)C)C)C	-7.081873127	0.033868914
CCCCC(C(C(C)C)C)C	-8.836873532	0.048592589
CC(CC(C(C(C)C)C)C)C	-7.545896966	0.045362905
CCCCCCC(CC)(C)C	-10.00545989	0.061761504
CCC(CCCC(C)C)(C)C	-9.138334579	0.052630066
CCCC(CC(CC)(C)C)C	-8.283491847	0.053724434
CCC(CC(C(C)C)C)(C)C	-7.355501819	0.036409913
CCCC(C(CC)(C)C)CC	-7.563716033	0.038532712
CCC(C(CC)(C)C)C(C)C	-6.781022189	0.029059333
CCCCC(CCC)(CC)C	-9.050588001	0.050124355
CCCC(CC(C)C)(CC)C	-8.167579179	0.045607366
CCCC(C(CC)(C)C)(C)C	-7.414772534	0.033500515
CCC(C(C(C)C)(C)C)(C)C	-6.920542587	0.03281414
CCCCC(C(CC)(C)C)C	-8.416744544	0.047213578
CCC(C(CC(C)C)C)(C)C	-7.200693832	0.035218218
CCCCC(C(C)C)(CC)C	-8.28067352	0.047816031
CCC(C(C)C)(CC(C)C)C	-7.496277697	0.038602755
CCCCCCCC(CC)C	-11.57723881	0.08818933
CCC(CCCCC(C)C)C	-11.03207039	0.096757509
CCCC(CCC(CC)C)C	-10.01304804	0.071403285
CCC(CCC(C(C)C)C)C	-9.209821001	0.060827767
CCCC(CC(CC)C)CC	-8.868225648	0.062466996
CCC(CC(C(C)C)CC)C	-7.731050933	0.043252385
CCCC(C(CC)C)CCC	-8.804984049	0.055252486
CCCC(C(CC)C)C(C)C	-7.693162948	0.040833785
CCCCC(CCCC)CC	-10.58523905	0.067918706
CCCCC(CC(C)C)CC	-9.441473557	0.057677732
CCC(C(C(C)C)C(C)C)C	-6.979255664	0.033194572
CCCC(CC(CC)C)(C)C	-8.122229968	0.049283136
CCC(CC(C(C)C)(C)C)C	-7.561476052	0.038078528
CCCCC(CC(CC)C)C	-9.591668215	0.06903414
CCC(CC(CC(C)C)C)C	-8.527389168	0.050126084
CCC(CC(C)C)CC(C)C	-8.154189888	0.047665968
CCCCCCCC(C)(C)C	-10.57993477	0.079345863
CC(CCCCC(C)(C)C)C	-10.12883088	0.072625683
CCCC(CCC(C)(C)C)C	-8.731012449	0.052744027
CC(C(CCC(C)(C)C)C)C	-8.055364352	0.051018474
CCCC(CC(C)(C)C)CC	-8.016673899	0.042724107
CCC(C(C)C)CC(C)(C)C	-6.918283743	0.037089911
CCCC(C(C)(C)C)CCC	-7.966199235	0.042582037
